,American (Traditional),Arts & Entertainment,Automotive,Casinos,Creperies,Cultural Center,Gelato,Music Venues,Nightlife,Seafood,Szechuan,Venues & Event Spaces,Cluster
American (Traditional),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Arts & Entertainment,0.0,0.999999999999993,0.2767336934506641,0.8748631777108443,0.20645009541866396,0.1066942829507639,0.15726800730773047,0.8420329185633149,0.834296748160577,0.6314710575980849,0.35730140762053464,0.0,1
Automotive,0.0,0.2767336934506641,0.9999999999999999,0.20236077894460644,0.12322197391436808,0.011432792043894574,0.11013240644982557,0.27857137901684237,0.3354750381709698,0.26423347592688506,0.225488858446088,0.0,3
Casinos,0.0,0.8748631777108443,0.20236077894460644,0.9999999999999937,0.1431466924844564,0.03382550236585363,0.09943701816690452,0.5266573220002991,0.5831066568543202,0.4746408149227563,0.2550342436621044,0.0,1
Creperies,0.0,0.20645009541866396,0.12322197391436808,0.1431466924844564,0.9999999999999994,0.007923746078902992,0.13354382426837869,0.2183765310871803,0.25352652611269,0.2100643992206744,0.13422473002101587,0.0,0
Cultural Center,0.0,0.1066942829507639,0.011432792043894574,0.03382550236585363,0.007923746078902992,0.9999999999999994,0.00531399562913567,0.042688253688433875,0.037721845566624945,0.04256352118634532,0.01549399218479592,0.0,2
Gelato,0.0,0.15726800730773047,0.11013240644982557,0.09943701816690452,0.13354382426837869,0.00531399562913567,0.9999999999999998,0.17783174503535007,0.2090834217630129,0.1611763893026351,0.10272590097927618,0.0,4
Music Venues,0.0,0.8420329185633149,0.27857137901684237,0.5266573220002991,0.2183765310871803,0.042688253688433875,0.17783174503535007,0.9999999999999963,0.8869396641387541,0.6063412867293809,0.3657914298169535,0.0,1
Nightlife,0.0,0.834296748160577,0.3354750381709698,0.5831066568543202,0.25352652611269,0.037721845566624945,0.2090834217630129,0.8869396641387541,0.9999999999999992,0.7522252592491684,0.43461783136773724,0.0,1
Seafood,0.0,0.6314710575980849,0.26423347592688506,0.4746408149227563,0.2100643992206744,0.04256352118634532,0.1611763893026351,0.6063412867293809,0.7522252592491684,1.0000000000000009,0.4315965778920368,0.0,1
Szechuan,0.0,0.35730140762053464,0.225488858446088,0.2550342436621044,0.13422473002101587,0.01549399218479592,0.10272590097927618,0.3657914298169535,0.43461783136773724,0.4315965778920368,1.0000000000000007,0.0,3
Venues & Event Spaces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
